"property","value"
"version","1.1.12"
"build","1011208"
"fileFormat","1.16"
"deviceModel","CPH2401"
"deviceBrand","OnePlus"
"deviceBoard","k6893v1_64_k419"
"deviceManufacturer","OnePlus"
"deviceBaseOS",""
"deviceCodename","REL"
"deviceRelease","13"
"depthFrontSensor","0"
"depthFrontResolution","null"
"depthFrontRate","null"
"depthBackSensor","0"
"depthBackResolution","null"
"depthBackRate","null"
"accelerometer Name","bmi2xy ACCELEROMETER"
"accelerometer Vendor","BOSCH"
"accelerometer Range","78.453606"
"accelerometer Resolution","0.0012"
"accelerometer MinDelay","2500"
"accelerometer MaxDelay","80000"
"accelerometer Power","0.001"
"accelerometer Version","1"
"linear_acceleration Name","Linear Acceleration Sensor"
"linear_acceleration Vendor","AOSP"
"linear_acceleration Range","19.6133"
"linear_acceleration Resolution","0.0012"
"linear_acceleration MinDelay","2500"
"linear_acceleration MaxDelay","0"
"linear_acceleration Power","0.003"
"linear_acceleration Version","3"
"gravity Name","Gravity Sensor"
"gravity Vendor","AOSP"
"gravity Range","19.6133"
"gravity Resolution","0.0012"
"gravity MinDelay","2500"
"gravity MaxDelay","0"
"gravity Power","0.003"
"gravity Version","3"
"gyroscope Name","bmi2xy GYROSCOPE"
"gyroscope Vendor","BOSCH"
"gyroscope Range","34.9063"
"gyroscope Resolution","0.0011"
"gyroscope MinDelay","2500"
"gyroscope MaxDelay","80000"
"gyroscope Power","0.001"
"gyroscope Version","1"
"magnetic_field Name","mmc5603 MAGNETOMETER"
"magnetic_field Vendor","memsic"
"magnetic_field Range","4912.0503"
"magnetic_field Resolution","0.15"
"magnetic_field MinDelay","20000"
"magnetic_field MaxDelay","200000"
"magnetic_field Power","0.001"
"magnetic_field Version","1"
"pressure Name","null"
"pressure Vendor","null"
"pressure Range","null"
"pressure Resolution","null"
"pressure MinDelay","null"
"pressure MaxDelay","null"
"pressure Power","null"
"pressure Version","null"
"light Name","OPLUS Fusion Light Sensor"
"light Vendor","OPLUS"
"light Range","65535.0"
"light Resolution","1.0"
"light MinDelay","0"
"light MaxDelay","0"
"light Power","0.003"
"light Version","1"
"proximity Name","tcs3701 PROXIMITY"
"proximity Vendor","AMS"
"proximity Range","5.0"
"proximity Resolution","1.0"
"proximity MinDelay","0"
"proximity MaxDelay","1000000"
"proximity Power","0.001"
"proximity Version","1"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","Rotation Vector Sensor"
"attitude Vendor","AOSP"
"attitude Range","1.0"
"attitude Resolution","5.9604645E-8"
"attitude MinDelay","2500"
"attitude MaxDelay","0"
"attitude Power","0.003"
"attitude Version","3"
